outcome,strategy,n_features,feature_floor,n_obs,n_events,c_index_demographics,c_index_news2,c_index_filab,c_index_combined,aic_demographics,aic_news2,aic_filab,aic_combined,hr_filab,hr_filab_lower,hr_filab_upper,hr_news2,hr_news2_lower,hr_news2_upper,hr_filab_in_combined,hr_filab_in_combined_lower,hr_filab_in_combined_upper,hr_news2_in_combined,hr_news2_in_combined_lower,hr_news2_in_combined_upper,hr_age_demographics,hr_age_demographics_lower,hr_age_demographics_upper,hr_age_news2,hr_age_news2_lower,hr_age_news2_upper,hr_age_filab,hr_age_filab_lower,hr_age_filab_upper,hr_age_combined,hr_age_combined_lower,hr_age_combined_upper,p_filab,p_news2,p_filab_in_combined,p_news2_in_combined,p_age_demographics,p_age_news2,p_age_filab,p_age_combined,dataset
1-Year Mortality,Common,10,0,112536,8199,0.7968338936858199,0.8180771139171035,0.8287602013057793,0.8326871254560588,180202.06913618915,150706.68043376735,177756.8727349442,149709.8183400698,1.6824488653698348,1.650219458473834,1.7153077247083786,1.3442222929205845,1.323384315815948,1.3653883843036088,1.5947000874825494,1.5494190258660905,1.6413044673924364,1.1408691448677517,1.1195376209516064,1.1626071168603789,3.543475729375588,3.442395178974861,3.647524352045216,3.5372218151749357,3.426502238413343,3.651519041628635,3.0065114026079174,2.919252326025393,3.0963787314398803,3.125966905849992,3.025722938558629,3.2295320142974906,0.0,1.9035992198815777e-291,2.8190214271582104e-221,1.2433052065417729e-42,0.0,0.0,0.0,0.0,MIMIC-IV-ED
1-Year Mortality,Importance,10,0,112567,8199,0.7968532888547427,0.8180771139171035,0.8190807564035854,0.8274059393565378,180205.45095563744,150706.68043376735,178481.61191202412,150042.6203059275,1.5206033286004477,1.4926508068497144,1.5490793106733405,1.3442222929205845,1.323384315815948,1.3653883843036088,1.4125501037076074,1.376750036625601,1.4492810912682634,1.1876750550502415,1.1661142701397218,1.2096344865238484,3.5435506314816028,3.4424719598675573,3.647597198832888,3.5372218151749357,3.426502238413343,3.651519041628635,3.0556752646439733,2.966719443476035,3.147298388288748,3.1971484031507944,3.094707726542252,3.302980059829608,0.0,1.9035992198815777e-291,2.961590816435857e-153,1.299663939720937e-75,0.0,0.0,0.0,0.0,MIMIC-IV-ED
1-Year Mortality,Common,15,0,112536,8199,0.7968338936858199,0.8180771139171035,0.8403120274313405,0.8458212480262182,180202.06913618915,150706.68043376735,176536.65060836825,148557.4518045328,1.924573087036832,1.8857490414171745,1.9641964471385176,1.3442222929205845,1.323384315815948,1.3653883843036088,1.851682283248605,1.8047248447588184,1.8998615152078648,1.1316445458511113,1.111992141314568,1.151644270291922,3.543475729375588,3.442395178974861,3.647524352045216,3.5372218151749357,3.426502238413343,3.651519041628635,2.88970517184118,2.805878040782716,2.976036683987972,2.993549925887605,2.8981307190925043,3.0921107525432,0.0,1.9035992198815777e-291,0.0,1.542712151320719e-43,0.0,0.0,0.0,0.0,MIMIC-IV-ED
1-Year Mortality,Importance,15,0,112582,8200,0.7968782562003551,0.8180771139171035,0.8359206959183796,0.8379909194113446,180227.703837232,150706.68043376735,177010.8060049122,149205.5241802643,1.837852228458871,1.80156968644156,1.8748654792936896,1.3442222929205845,1.323384315815948,1.3653883843036088,1.7063007394650531,1.6617593300574192,1.7520360264192931,1.1202154329257936,1.099834691593652,1.140973844302736,3.544153438341552,3.4430583550592333,3.648216875572575,3.5372218151749357,3.426502238413343,3.651519041628635,2.775457235157602,2.6936618604376945,2.859736397254031,2.929632561716852,2.834414937654655,3.0280488691516227,0.0,1.9035992198815777e-291,0.0,8.497602729296656e-34,0.0,0.0,0.0,0.0,MIMIC-IV-ED
1-Year Mortality,Common,20,0,112582,8200,0.7968786839456287,0.8180771139171035,0.8472395586931891,0.8515666891024187,180227.6652516016,150706.68043376735,175845.53048616188,148028.7393695292,2.0561512208194217,2.0142892019809984,2.0988832381761835,1.3442222929205845,1.323384315815948,1.3653883843036088,1.969167952379968,1.920199037946552,2.019385672032739,1.1126707045946018,1.0933641516532406,1.1323181713896997,3.5441365235261664,3.44304202313795,3.648199357713408,3.5372218151749357,3.426502238413343,3.651519041628635,2.648987056670997,2.571320701436024,2.7289993124901013,2.763116831952328,2.6739823480639497,2.85522252326988,0.0,1.9035992198815777e-291,0.0,6.1407672544022585e-33,0.0,0.0,0.0,0.0,MIMIC-IV-ED
1-Year Mortality,Importance,20,0,112582,8200,0.7968782562003551,0.8180771139171035,0.8463695219965455,0.8476609386817161,180227.703837232,150706.68043376735,175964.89429421164,148362.127233098,2.03614167755947,1.995105219432746,2.078022196881155,1.3442222929205845,1.323384315815948,1.3653883843036088,1.928062498524944,1.8786383161158904,1.9787869577280184,1.0969148746765691,1.0773900456574672,1.116793539291017,3.544153438341552,3.4430583550592333,3.648216875572575,3.5372218151749357,3.426502238413343,3.651519041628635,2.6845542762498678,2.605627879773498,2.7658714116759926,2.8137622111352343,2.7226824874532207,2.907888752102855,0.0,1.9035992198815777e-291,0.0,5.8373151407590365e-24,0.0,0.0,0.0,0.0,MIMIC-IV-ED
1-Year Mortality,Common,25,0,112583,8200,0.7968801235338546,0.8180771139171035,0.8514316453430231,0.8529937297325592,180227.71454922896,150706.68043376735,175410.59194855785,147877.6817781518,2.151406130955212,2.1072622771711567,2.196474729536352,1.3442222929205845,1.323384315815948,1.3653883843036088,2.0471558868387905,1.994974440503151,2.100702214491401,1.0900668174978267,1.070832883940053,1.1096462243835612,3.5441637723535115,3.443068612952864,3.6482272813292433,3.5372218151749357,3.426502238413343,3.651519041628635,2.644959673911344,2.567258240688432,2.7250128427832863,2.7632434649984186,2.673868171731919,2.8556061692116965,0.0,1.9035992198815777e-291,0.0,2.210520897428873e-21,0.0,0.0,0.0,0.0,MIMIC-IV-ED
1-Year Mortality,Importance,25,0,112583,8200,0.7968801235338546,0.8180771139171035,0.8489687973221518,0.8501259917990927,180227.71454922896,150706.68043376735,175641.63640160582,148108.78134825494,2.1209184588631675,2.0769707091264906,2.165796122872795,1.3442222929205845,1.323384315815948,1.3653883843036088,1.9983800652127832,1.9469192407157536,2.051201098393632,1.0936333544997567,1.0742001996862285,1.1134180708807817,3.5441637723535115,3.443068612952864,3.6482272813292433,3.5372218151749357,3.426502238413343,3.651519041628635,2.6938817919560267,2.614967163893084,2.7751779101609118,2.821696177596783,2.730757029321788,2.9156637639935816,0.0,1.9035992198815777e-291,0.0,1.3123654586440897e-22,0.0,0.0,0.0,0.0,MIMIC-IV-ED
1-Year Mortality,Common,30,0,112886,8201,0.7972667126185085,0.8180771139171035,0.8520528318563823,0.854093256449113,180266.73797869057,150706.68043376735,175448.0668345031,147763.27130258043,2.138922164829516,2.0969466235807555,2.1817379497179163,1.3442222929205845,1.323384315815948,1.3653883843036088,2.103232685478311,2.048431473276918,2.1594999818020786,1.090456146157232,1.071218977596557,1.110038779708699,3.548139354491228,3.446971808399025,3.652276136466758,3.5372218151749357,3.426502238413343,3.651519041628635,2.731653379292835,2.652940168527083,2.8127020251439907,2.7764726686496832,2.686900610652854,2.869030752084885,0.0,1.9035992198815777e-291,0.0,1.488268619504005e-21,0.0,0.0,0.0,0.0,MIMIC-IV-ED
1-Year Mortality,Importance,30,0,112886,8201,0.7972667126185085,0.8180771139171035,0.8513837325494122,0.8528057505401196,180266.73797869057,150706.68043376735,175489.60771852886,147884.9831871694,2.180170723953484,2.1342214241241986,2.227109301713792,1.3442222929205845,1.323384315815948,1.3653883843036088,2.0677449974149966,2.0140044152749623,2.122919563585476,1.0977344260336612,1.0784346907828617,1.1173795505638808,3.548139354491228,3.446971808399025,3.652276136466758,3.5372218151749357,3.426502238413343,3.651519041628635,2.659605718496879,2.5814978789852643,2.740076850515079,2.778100031050474,2.688248990048816,2.870954220048827,0.0,1.9035992198815777e-291,0.0,6.786267225003606e-25,0.0,0.0,0.0,0.0,MIMIC-IV-ED
